"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 양구군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 양구군 남면 가오작리","1***","다가구","8m미만","80","200","201611","21~30","5,500","2002","남동로"
"강원도 양구군 남면 가오작리","7**","단독","8m미만","113.04","296","201608","11~20","6,500","1994","남동로177번길"
"강원도 양구군 남면 가오작리","6**","단독","12m미만","71.5","738","201609","21~30","1,700","1955","남동로"
"강원도 양구군 남면 구암리","7*","단독","8m미만","91.64","757","201608","1~10","13,200","2002","봉화산로"
"강원도 양구군 남면 도촌리","1**","단독","8m미만","65","443","201609","1~10","3,132","2002","국토정중앙로"
"강원도 양구군 남면 용하리","3**","단독","8m미만","81.42","331","201605","1~10","4,500","1956","정중앙로663번길"
"강원도 양구군 남면 청리","1***","단독","8m미만","70.68","344","201602","21~29","3,300","2004","정중앙로"
"강원도 양구군 남면 청리","8**","단독","8m미만","79.2","576","201611","21~30","5,000","1986","정중앙로"
"강원도 양구군 동면 원당리","6**","단독","12m미만","74.81","386.7","201608","11~20","4,000","1994","원당길52번길"
"강원도 양구군 동면 임당리","3**","단독","12m미만","51.01","103","201601","11~20","1,296","1991","금강산로"
"강원도 양구군 동면 팔랑리","4**","단독","12m미만","106.74","990","201611","11~20","17,153","2011","숨골로"
"강원도 양구군 동면 후곡리","5**","단독","12m미만","72","213","201603","11~20","3,000","1983","숨골로"
"강원도 양구군 방산면 금악리","7**","단독","8m미만","79.56","660","201612","11~20","21,961","2011","평화로"
"강원도 양구군 방산면 송현리","5**","단독","8m미만","98.94","492","201610","1~10","7,500","2010","소풍정길"
"강원도 양구군 방산면 오미리","8**","단독","8m미만","67.5","404","201603","1~10","4,000","1997","남밭길"
"강원도 양구군 방산면 장평리","4**","단독","8m미만","79.55","711","201605","1~10","5,160","2012","소풍정길"
"강원도 양구군 양구읍 고대리","1**","단독","8m미만","61.44","592","201606","11~20","5,880","1993","고대길"
"강원도 양구군 양구읍 공리","1**","단독","8m미만","97.59","560","201604","11~20","14,500","2002","춘양로2545번길"
"강원도 양구군 양구읍 공리","2*","단독","12m미만","79.91","660","201601","21~31","2,400","1996","소양호로"
"강원도 양구군 양구읍 공수리","9*","단독","8m미만","223.52","347","201604","1~10","10,000","1992","파로호로"
"강원도 양구군 양구읍 공수리","3**","단독","8m미만","293.69","620","201605","11~20","23,970","null","파로호로"
"강원도 양구군 양구읍 군량리","2**","단독","8m미만","51.45","375","201611","21~30","1,130","1972","성곡로"
"강원도 양구군 양구읍 군량리","1***","단독","8m미만","79.17","404","201602","11~20","2,500","1970","성곡로847번길"
"강원도 양구군 양구읍 군량리","1***","단독","8m미만","148.45","600","201607","11~20","7,950","2003","성곡로847번길"
"강원도 양구군 양구읍 도사리","3**","단독","8m미만","99.9","920","201607","11~20","5,000","1996","금강산로"
"강원도 양구군 양구읍 동수리","2*","단독","12m미만","173.84","660","201602","21~29","29,600","null","파로호로"
"강원도 양구군 양구읍 상리","3**","다가구","8m미만","341.13","102","201605","11~20","24,000","1995","사명길"
"강원도 양구군 양구읍 상리","2**","단독","8m미만","76.5","73","201604","1~10","2,000","1958","양남로7번길"
"강원도 양구군 양구읍 상리","3**","단독","8m미만","28.25","118","201609","21~30","9,700","1956","관공서로16번길"
"강원도 양구군 양구읍 상리","2**","단독","8m미만","96.58","198","201602","1~10","10,500","1988","택지길"
"강원도 양구군 양구읍 상리","5**","단독","8m미만","99.63","198.6","201601","1~10","10,000","2014","청춘로"
"강원도 양구군 양구읍 상리","2**","단독","8m미만","88.7","248","201602","21~29","9,904","1991","양구새싹로"
"강원도 양구군 양구읍 상리","6**","단독","12m미만","115.46","258.2","201610","11~20","14,700","2013","청춘로"
"강원도 양구군 양구읍 상리","5**","단독","12m미만","108.47","264.8","201607","1~10","15,000","1996","양록길23번길"
"강원도 양구군 양구읍 상리","5**","단독","12m미만","83.12","265.8","201609","1~10","21,500","2005","양록길23번길"
"강원도 양구군 양구읍 상리","5**","단독","8m미만","76.5","364.4","201603","21~31","21,000","2013","청춘로"
"강원도 양구군 양구읍 상리","2**","단독","8m미만","222.97","391","201601","21~31","33,500","1993","비봉로"
"강원도 양구군 양구읍 상무룡리","1***","단독","8m미만","49","645","201606","21~30","7,500","1997","간척월명로"
"강원도 양구군 양구읍 안대리","2**","단독","8m미만","66.6","534","201612","1~10","6,290","2001","박수근로213번길"
"강원도 양구군 양구읍 안대리","4*","단독","8m미만","87.94","1083","201603","1~10","13,000","1997","학안로324번길"
"강원도 양구군 양구읍 월명리","7*","단독","8m미만","47.25","330","201605","21~31","5,394","2012","파로호로2번길"
"강원도 양구군 양구읍 정림리","2**","단독","8m미만","88.51","473","201611","21~30","21,226","2016","박수근로"
"강원도 양구군 양구읍 죽곡리","3**","단독","8m미만","36.96","417","201608","1~10","1,500","1976","죽곡로73번길"
"강원도 양구군 양구읍 죽곡리","*","단독","8m미만","99.75","618","201603","21~31","17,890","2013","죽곡로"
"강원도 양구군 양구읍 하리","9*","단독","8m미만","33.8","90","201604","21~30","2,694","2007","비봉로"
"강원도 양구군 양구읍 하리","9*","단독","25m미만","72","256","201601","11~20","20,270","1980","비봉로"
"강원도 양구군 양구읍 하리","2**","단독","12m미만","98.52","342","201609","1~10","11,700","2006","박수근로421번길"
"강원도 양구군 양구읍 한전리","1**","단독","12m미만","132.64","660","201609","21~30","10,670","1997","금강산로"
"강원도 양구군 양구읍 한전리","2**","단독","12m미만","120.9","887","201608","1~10","8,000","1994","null"
"강원도 양구군 해안면 현리","2*","단독","12m미만","73.7","127","201607","11~20","2,000","1991","펀치볼로"
"강원도 양구군 해안면 현리","2*","단독","8m미만","112.8","255","201609","21~30","6,750","1985","펀치볼로"
"강원도 양구군 해안면 현리","1*","단독","8m미만","76.14","429","201610","11~20","4,370","1995","펀치볼로1365번길"
"강원도 양구군 해안면 현리","1*","단독","8m미만","76.14","550","201612","21~31","5,100","1995","펀치볼로1365번길"
"강원도 양구군 해안면 현리","1**","단독","8m미만","96.77","630","201612","21~31","5,270","1996","펀치볼로"
"강원도 양구군 해안면 현리","2**","단독","8m미만","124.73","660","201601","1~10","7,000","2006","펀치볼로1365번길"
"강원도 양구군 해안면 후리","7**","단독","12m미만","57.8","1000","201609","1~10","4,527","2004","땅굴로"
