"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 양양군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 양양군 강현면 강선리","5**","단독","8m미만","138.37","393","201502","21~28","14,800","2008","강선중앙길30번길"
"강원도 양양군 강현면 광석리","7*","단독","8m미만","91.5","192","201504","1~10","6,500","2011","안골로"
"강원도 양양군 강현면 둔전리","*","단독","8m미만","344.16","919","201505","21~31","18,950","1997","화채봉길"
"강원도 양양군 강현면 둔전리","*","단독","-","119.55","1011","201503","11~20","22,000","2015","화채봉길"
"강원도 양양군 강현면 물갑리","3**","단독","8m미만","106.64","416","201512","21~31","16,300","2014","진미로448번길"
"강원도 양양군 강현면 물치리","2**","단독","8m미만","49.14","186","201505","1~10","6,000","1978","물치천로"
"강원도 양양군 강현면 상복리","5**","단독","8m미만","183.1","334","201507","11~20","11,000","1996","복골길265번길"
"강원도 양양군 강현면 석교리","2*","단독","8m미만","94.9","660","201504","21~30","12,000","2006","대문터길"
"강원도 양양군 강현면 용호리","1**","단독","8m미만","90.18","585","201512","21~31","15,000","1991","용호길"
"강원도 양양군 강현면 용호리","1**","단독","8m미만","107.3","948","201505","1~10","14,600","2005","용호길"
"강원도 양양군 강현면 정암리","1**","다가구","25m미만","457.68","578","201501","21~31","70,000","2003","동해대로"
"강원도 양양군 강현면 정암리","4**","단독","25m미만","66.15","149","201504","11~20","15,000","1990","동해대로"
"강원도 양양군 강현면 정암리","1**","단독","8m미만","94.44","660","201510","1~10","20,000","2005","정암2길"
"강원도 양양군 강현면 주청리","2*","단독","-","126.46","320","201506","21~30","6,300","1960","동해대로"
"강원도 양양군 강현면 주청리","*","단독","25m미만","324.16","446","201509","11~20","38,500","2001","일출로"
"강원도 양양군 강현면 중복리","2**","단독","8m미만","66.3","423","201504","11~20","4,500","1952","복골길"
"강원도 양양군 강현면 침교리","1**","단독","8m미만","87.36","496","201511","1~10","17,000","2005","안골로"
"강원도 양양군 강현면 하복리","4**","단독","8m미만","178.78","660","201509","11~20","10,016","1997","하복길"
"강원도 양양군 강현면 회룡리","3*","단독","8m미만","65.2","322","201509","11~20","8,000","2014","소금재길"
"강원도 양양군 강현면 회룡리","5*","단독","8m미만","73.6","481","201508","21~31","11,000","2000","소금재길"
"강원도 양양군 서면 가라피리","*","다가구","8m미만","99.76","395","201505","1~10","15,000","2005","송어길"
"강원도 양양군 서면 갈천리","1**","단독","12m미만","155.88","661","201507","21~31","13,368","2001","구룡령로"
"강원도 양양군 서면 논화리","2**","단독","8m미만","99.87","777","201508","11~20","15,500","2001","논화길"
"강원도 양양군 서면 북평리","1**","다가구","8m미만","229.22","875","201503","11~20","27,800","2007","북평2길"
"강원도 양양군 서면 북평리","3**","단독","8m미만","202.95","467","201504","21~30","8,000","1998","곰밭길"
"강원도 양양군 서면 상평리","4**","단독","8m미만","59.19","344","201509","1~10","6,250","1958","상평1길"
"강원도 양양군 서면 상평리","2*","단독","8m미만","89.43","355","201509","11~20","13,500","2006","물윗구미길"
"강원도 양양군 서면 서림리","2**","단독","12m미만","170.88","448","201501","21~31","11,000","1995","구룡령로"
"강원도 양양군 서면 송어리","1**","단독","8m미만","76.92","660","201509","21~30","30,000","2009","송어길"
"강원도 양양군 서면 송천리","7*","단독","8m미만","63.5","380","201508","1~10","15,000","1964","떡마을길"
"강원도 양양군 서면 오색리","4**","단독","8m미만","82.8","238","201509","11~20","12,500","1982","안터길"
"강원도 양양군 서면 오색리","4**","단독","8m미만","85.51","280","201505","21~31","10,000","1982","안터길"
"강원도 양양군 서면 오색리","1**","단독","-","107.49","542","201510","11~20","37,300","2015","설악로"
"강원도 양양군 손양면 부소치리","6*","단독","8m미만","119.04","449","201509","21~30","11,500","1994","부소치길"
"강원도 양양군 손양면 삽존리","2**","단독","8m미만","90.8","300","201508","11~20","1,835","1999","동막골길"
"강원도 양양군 손양면 상양혈리","5*","단독","8m미만","91.02","486","201511","11~20","5,000","1979","서양길"
"강원도 양양군 손양면 상운리","2**","단독","8m미만","83.16","602","201511","11~20","12,500","2003","상운길"
"강원도 양양군 손양면 송전리","2*","단독","8m미만","81.65","678","201511","1~10","20,000","1965","송평길"
"강원도 양양군 손양면 송현리","6*","단독","8m미만","93.28","483","201512","1~10","12,250","1998","송현길"
"강원도 양양군 손양면 수산리","6*","단독","8m미만","61.3","266","201506","11~20","8,000","1970","수산2길"
"강원도 양양군 손양면 우암리","2**","단독","8m미만","18","403","201506","21~30","4,000","2009","평촌길"
"강원도 양양군 손양면 우암리","1**","단독","8m미만","75.31","420","201506","21~30","4,000","1945","상촌로"
"강원도 양양군 손양면 우암리","2**","단독","8m미만","82.64","661","201510","11~20","10,500","1960","평촌길"
"강원도 양양군 양양읍 감곡리","1**","단독","8m미만","53.38","456","201504","11~20","5,050","1947","감동골로"
"강원도 양양군 양양읍 감곡리","5**","단독","8m미만","98","784","201503","1~10","7,800","2011","고래골길"
"강원도 양양군 양양읍 감곡리","6*","단독","8m미만","76.2","836","201512","21~31","14,608","2015","감동골로"
"강원도 양양군 양양읍 거마리","1**","다가구","8m미만","456.62","292","201507","21~31","9,400","1997","단지길"
"강원도 양양군 양양읍 거마리","3**","단독","12m미만","18","243","201503","21~31","4,000","1960","거마천로"
"강원도 양양군 양양읍 거마리","1**","단독","8m미만","95.74","290","201508","11~20","12,180","2008","단지길"
"강원도 양양군 양양읍 거마리","4**","단독","8m미만","99.9","660","201511","11~20","16,000","2012","단지길"
"강원도 양양군 양양읍 남문리","5*","단독","8m미만","167.89","107","201511","1~10","12,380","1988","남문7길"
"강원도 양양군 양양읍 남문리","*","단독","8m미만","62.97","110","201508","1~10","9,000","2003","남문2길"
"강원도 양양군 양양읍 남문리","9*","단독","12m미만","69.3","114","201512","11~20","14,250","1983","남문6길"
"강원도 양양군 양양읍 남문리","7*","단독","8m미만","144.79","132","201505","21~31","8,000","1978","남문9길"
"강원도 양양군 양양읍 남문리","2**","단독","8m미만","199.53","213","201512","1~10","11,600","1994","남서길"
"강원도 양양군 양양읍 사천리","8*","단독","8m미만","90.69","190","201507","11~20","10,800","2008","사천길"
"강원도 양양군 양양읍 서문리","4*","다가구","8m미만","538.9","248","201505","21~31","34,700","1996","서문1길"
"강원도 양양군 양양읍 서문리","2**","단독","8m미만","51.4","136","201505","1~10","3,000","1977","양양로"
"강원도 양양군 양양읍 서문리","2**","단독","25m미만","55.11","176","201505","11~20","8,500","1960","양양로"
"강원도 양양군 양양읍 서문리","3**","단독","8m미만","82.18","197","201508","11~20","10,000","1977","서문4길"
"강원도 양양군 양양읍 서문리","3**","단독","8m미만","402.12","339","201509","21~30","32,000","1996","양양로"
