"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 화천군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 화천군 간동면 간척리","8**","단독","8m미만","69.12","219","201611","21~30","1,300","1991","먼내길"
"강원도 화천군 간동면 간척리","5*","단독","8m미만","99","552","201607","11~20","11,251","2001","간척리길"
"강원도 화천군 간동면 간척리","3**","단독","8m미만","72","630","201608","11~20","7,000","1995","간척리길"
"강원도 화천군 간동면 구만리","1***","단독","8m미만","83.08","660","201606","11~20","13,000","2008","어룡동길"
"강원도 화천군 간동면 방천리","1***","단독","8m미만","65.38","365","201608","21~31","11,500","2016","갓골길"
"강원도 화천군 간동면 오음리","3**","단독","8m미만","84","600","201612","11~20","11,960","2009","동림길"
"강원도 화천군 간동면 오음리","5**","단독","-","142.55","2397","201605","1~10","10,000","1973","간척월명로"
"강원도 화천군 간동면 유촌리","5**","단독","8m미만","68","98","201604","1~10","4,400","1997","하원길"
"강원도 화천군 사내면 광덕리","1***","단독","8m미만","175.3","382","201610","21~31","24,000","2006","null"
"강원도 화천군 사내면 광덕리","6**","단독","8m미만","108","551","201610","21~31","6,000","2005","도일길"
"강원도 화천군 사내면 명월리","4**","단독","-","97.98","192","201612","1~10","6,560","1992","박달로"
"강원도 화천군 사내면 명월리","3**","단독","8m미만","61.64","393","201605","21~31","6,300","1990","수피령로"
"강원도 화천군 사내면 명월리","*","단독","-","85.7","2684","201609","1~10","6,000","1987","null"
"강원도 화천군 사내면 사창리","4**","단독","25m미만","94.62","99","201605","1~10","12,000","2005","사내로"
"강원도 화천군 사내면 사창리","4**","단독","8m미만","29.58","190","201610","11~20","5,000","1978","창안산길"
"강원도 화천군 사내면 사창리","1*","단독","8m미만","136.08","363","201608","1~10","1,500","1997","솔대길"
"강원도 화천군 사내면 사창리","8**","단독","8m미만","94.75","364","201607","21~31","5,000","2002","포화로"
"강원도 화천군 사내면 사창리","9**","단독","8m미만","90.54","380","201607","1~10","16,000","2002","문화마을2길"
"강원도 화천군 사내면 사창리","2**","단독","8m미만","125.06","605","201610","1~10","13,800","2007","소이길"
"강원도 화천군 사내면 사창리","4**","단독","8m미만","266.59","990","201603","21~31","43,000","2007","수피령로"
"강원도 화천군 사내면 삼일리","1**","단독","8m미만","61.73","571","201601","1~10","4,495","1985","화악산로"
"강원도 화천군 사내면 삼일리","1**","단독","8m미만","94.43","1249","201603","11~20","14,730","2012","작은방단길"
"강원도 화천군 사내면 용담리","8**","다가구","8m미만","105.04","660","201602","11~20","21,226","2010","김수증길"
"강원도 화천군 사내면 용담리","7**","단독","12m미만","60.32","178","201612","11~20","1,200","1978","사내천로"
"강원도 화천군 상서면 구운리","8**","단독","8m미만","89.72","840.1","201605","11~20","13,300","2006","만산동로"
"강원도 화천군 상서면 노동리","1***","단독","8m미만","85.1","325","201607","1~10","6,500","1997","노신로"
"강원도 화천군 상서면 봉오리","4**","단독","12m미만","69.87","209","201604","1~10","3,000","2005","신월동로"
"강원도 화천군 상서면 산양리","5**","단독","12m미만","67.62","292","201610","11~20","7,000","1981","영서로"
"강원도 화천군 상서면 신대리","9**","단독","8m미만","93.72","330","201604","21~30","12,000","2014","토고미길"
"강원도 화천군 상서면 장촌리","4**","단독","8m미만","61.11","1266","201610","1~10","4,800","2009","장촌리길"
"강원도 화천군 상서면 장촌리","4**","단독","-","106.62","2027","201606","11~20","12,961","1986","장촌리길"
"강원도 화천군 상서면 파포리","5**","단독","8m미만","51.39","746","201601","21~31","9,500","1959","계파로"
"강원도 화천군 상서면 파포리","8**","단독","8m미만","85.64","1390","201609","1~10","19,980","2013","계파로"
"강원도 화천군 하남면 계성리","7*","단독","8m미만","153","660","201603","1~10","3,500","1989","계파로"
"강원도 화천군 하남면 삼화리","4**","단독","-","87.94","510","201612","11~20","16,371","2016","용화산로"
"강원도 화천군 하남면 서오지리","7**","단독","8m미만","20.52","159.85","201609","21~30","1,500","2012","서오지리길"
"강원도 화천군 하남면 서오지리","7**","단독","12m미만","69.3","481.9","201604","1~10","11,000","2005","서오지리길"
"강원도 화천군 하남면 안평리","1***","단독","8m미만","72.72","495","201611","1~10","9,000","2003","논미로"
"강원도 화천군 하남면 용암리","1***","단독","8m미만","57.78","143","201602","21~29","2,500","2000","용화산로"
"강원도 화천군 하남면 용암리","7**","단독","8m미만","83.2","188","201610","1~10","8,400","2001","용화산로"
"강원도 화천군 하남면 용암리","6**","단독","8m미만","108.09","660","201606","1~10","22,579","2005","용화산로"
"강원도 화천군 하남면 원천리","1**","단독","8m미만","92.77","215","201611","21~30","4,087","1983","호수마을길"
"강원도 화천군 하남면 원천리","4**","단독","8m미만","80.24","740","201601","11~20","20,000","1992","가마니길"
"강원도 화천군 하남면 위라리","4**","단독","8m미만","95.58","426","201608","11~20","12,000","1983","춘화로"
"강원도 화천군 하남면 위라리","2**","단독","8m미만","253.45","437","201604","1~10","15,600","2008","위라리길"
"강원도 화천군 하남면 위라리","3**","단독","8m미만","97.18","569","201605","21~31","22,900","2014","위라리길"
"강원도 화천군 화천읍 대이리","1**","단독","12m미만","132.49","465","201608","21~31","18,000","1986","평화로"
"강원도 화천군 화천읍 상리","3*","단독","8m미만","97.59","63","201609","1~10","1,930","1954","null"
"강원도 화천군 화천읍 상리","5*","단독","8m미만","27.8","159","201607","1~10","5,000","1968","상승로"
"강원도 화천군 화천읍 상리","3*","단독","12m미만","56.2","208","201610","11~20","7,300","1954","상승로4길"
"강원도 화천군 화천읍 신읍리","3**","단독","12m미만","69","680","201603","1~10","11,407","2010","율대로"
"강원도 화천군 화천읍 중리","2**","단독","8m미만","55.04","109","201603","21~31","2,000","1996","산수화로3길"
"강원도 화천군 화천읍 중리","1**","단독","8m미만","48.84","139","201607","1~10","6,000","1965","산수화로6길"
"강원도 화천군 화천읍 중리","2**","단독","8m미만","82.05","139","201606","11~20","10,000","1991","산수화로3길"
"강원도 화천군 화천읍 중리","2**","단독","8m미만","44.42","147","201604","1~10","8,300","1954","상승로4길"
"강원도 화천군 화천읍 중리","1**","단독","8m미만","30.41","182","201605","11~20","7,000","1965","산수화로"
"강원도 화천군 화천읍 풍산리","1***","단독","8m미만","99.19","641","201606","11~20","14,600","2003","평화로"
"강원도 화천군 화천읍 풍산리","6**","단독","12m미만","76","643","201606","21~30","1,198","1988","평화로"
"강원도 화천군 화천읍 하리","3*","단독","8m미만","42.25","79","201608","1~10","5,750","1955","상승로"
"강원도 화천군 화천읍 하리","4*","단독","8m미만","180.36","218","201608","21~31","17,000","1995","중앙로2길"
