"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 정선군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 정선군 고한읍 고한리","2**","다가구","12m미만","684.63","1372","201510","1~10","190,872","2015","고한로"
"강원도 정선군 고한읍 고한리","9*","단독","8m미만","20.8","83","201508","11~20","4,500","1984","고한로"
"강원도 정선군 고한읍 고한리","3**","단독","8m미만","38.64","105","201511","21~30","2,100","1980","null"
"강원도 정선군 고한읍 고한리","*","단독","8m미만","74","146","201508","21~31","10,000","2004","부금소길"
"강원도 정선군 고한읍 고한리","1**","단독","12m미만","43.12","148","201511","11~20","17,940","1980","고한로"
"강원도 정선군 고한읍 고한리","9*","단독","8m미만","88.75","175","201511","1~10","7,500","1975","고한2길"
"강원도 정선군 고한읍 고한리","*","단독","8m미만","146.72","259","201508","21~31","10,000","2005","부금소길"
"강원도 정선군 남면 낙동리","1**","단독","8m미만","40.22","100","201507","1~10","12,000","1997","거칠현길"
"강원도 정선군 남면 낙동리","3**","단독","8m미만","132","225","201502","21~28","1,500","1980","선평길"
"강원도 정선군 남면 낙동리","8*","단독","8m미만","81.5","604","201508","1~10","2,000","2002","쇄재옛길"
"강원도 정선군 남면 낙동리","6**","단독","8m미만","89.6","654","201506","1~10","20,000","1998","광락로"
"강원도 정선군 남면 낙동리","8*","단독","8m미만","130.88","658","201504","21~30","1,670","2002","쇄재옛길"
"강원도 정선군 남면 무릉리","6**","단독","8m미만","57.95","105","201505","21~31","5,500","1980","도원2길"
"강원도 정선군 남면 무릉리","5**","단독","8m미만","52.31","195","201508","21~31","4,500","1978","멀미길"
"강원도 정선군 남면 무릉리","6**","단독","25m미만","59.4","199","201501","1~10","4,500","1980","무릉2로"
"강원도 정선군 남면 무릉리","7**","단독","8m미만","92.34","215","201508","11~20","8,300","2001","자뭇골길"
"강원도 정선군 남면 무릉리","6**","단독","12m미만","66.11","228","201506","21~30","14,000","1980","도원2길"
"강원도 정선군 남면 무릉리","8**","단독","12m미만","71.3","401","201501","21~31","7,400","1988","민둥산로"
"강원도 정선군 남면 문곡리","1**","단독","8m미만","31.2","116","201504","1~10","2,000","1980","별어곡2길"
"강원도 정선군 남면 문곡리","1**","단독","8m미만","61.64","175","201509","21~30","5,800","1980","별어곡1길"
"강원도 정선군 남면 문곡리","3**","단독","12m미만","88.78","539","201506","1~10","5,000","1980","자미원길"
"강원도 정선군 남면 문곡리","2**","단독","8m미만","123.6","992","201510","1~10","20,000","2009","자미원길"
"강원도 정선군 남면 문곡리","9*","단독","12m미만","162.4","1550","201508","21~31","24,806","1995","칠현로"
"강원도 정선군 남면 유평리","7*","단독","-","146.33","225","201503","21~31","5,000","2006","약수길"
"강원도 정선군 남면 유평리","5**","단독","8m미만","52.2","562","201505","21~31","19,000","1980","소마평길"
"강원도 정선군 북평면 나전리","2**","단독","8m미만","70.15","337","201504","11~20","13,000","1995","어도원길"
"강원도 정선군 북평면 나전리","3**","단독","8m미만","70","582","201504","1~10","12,000","2003","졸드루길"
"강원도 정선군 북평면 나전리","3**","단독","8m미만","86.35","632","201510","1~10","5,000","1995","졸드루길"
"강원도 정선군 북평면 나전리","3**","단독","8m미만","172.31","782","201505","1~10","18,412","2002","졸드루길"
"강원도 정선군 북평면 남평리","4**","단독","8m미만","84","297","201503","21~31","7,600","1999","송석길"
"강원도 정선군 북평면 남평리","1***","단독","12m미만","91.6","445.7","201503","11~20","12,700","2005","문화마을길"
"강원도 정선군 북평면 남평리","1***","단독","12m미만","210.2","451.4","201503","1~10","19,000","2001","문화마을길"
"강원도 정선군 북평면 남평리","8*","단독","8m미만","102.2","998","201507","21~31","6,000","2009","마산재길"
"강원도 정선군 북평면 북평리","7**","단독","12m미만","117.68","299","201502","21~28","5,000","1978","북평2길"
"강원도 정선군 북평면 북평리","2**","단독","12m미만","52.16","317","201507","1~10","3,900","1980","서동로"
"강원도 정선군 북평면 북평리","1**","단독","8m미만","70.48","323","201505","21~31","7,000","2000","북평강변로"
"강원도 정선군 북평면 북평리","7**","단독","8m미만","126.43","370","201509","11~20","8,700","1979","북평1길"
"강원도 정선군 북평면 북평리","7**","단독","8m미만","59.81","371","201510","1~10","7,000","1980","북평2길"
"강원도 정선군 북평면 북평리","1**","단독","12m미만","64.36","428","201510","21~31","6,000","2009","북평강변로"
"강원도 정선군 북평면 북평리","8**","단독","8m미만","95.76","569","201508","21~31","12,000","2012","졸드루길"
"강원도 정선군 북평면 북평리","8**","단독","8m미만","95.79","658","201503","11~20","14,000","2009","졸드루길"
"강원도 정선군 북평면 숙암리","1**","단독","8m미만","99.48","660","201504","1~10","10,000","2009","벗밭길"
"강원도 정선군 북평면 장열리","2*","단독","8m미만","109.98","338","201507","11~20","8,000","2001","윗가평길"
"강원도 정선군 북평면 장열리","*","단독","8m미만","113","500","201508","11~20","7,000","1980","윗가평길"
"강원도 정선군 북평면 장열리","1**","단독","8m미만","163.58","650","201509","21~30","9,380","2004","가평길"
"강원도 정선군 사북읍 사북리","3**","단독","8m미만","41.39","87","201509","1~10","6,300","1980","사북1길"
"강원도 정선군 사북읍 사북리","3**","단독","8m미만","220.17","102","201505","1~10","17,000","1989","사북3길"
"강원도 정선군 사북읍 사북리","3**","단독","12m미만","1022.78","212","201506","21~30","120,000","2003","사북1길"
"강원도 정선군 신동읍 고성리","6**","단독","8m미만","91.64","288","201510","21~31","4,200","1997","연포길"
"강원도 정선군 신동읍 덕천리","4**","단독","8m미만","118.4","328","201505","21~31","8,500","2004","연포길"
"강원도 정선군 신동읍 덕천리","8*","단독","8m미만","152.01","474","201504","1~10","9,000","2003","소골길"
"강원도 정선군 신동읍 예미리","6**","단독","8m미만","41.04","83","201505","1~10","2,500","1980","예미5길"
"강원도 정선군 신동읍 예미리","1**","단독","8m미만","25.2","89","201506","21~30","1,000","1983","함백로"
"강원도 정선군 신동읍 예미리","7**","단독","12m미만","41.22","94","201508","1~10","5,000","1983","의림로"
"강원도 정선군 신동읍 예미리","7**","단독","8m미만","59.86","100","201504","11~20","2,800","1980","예미2길"
"강원도 정선군 신동읍 예미리","6**","단독","8m미만","43.12","132","201504","11~20","1,000","1980","의림로"
"강원도 정선군 신동읍 예미리","6**","단독","8m미만","30.24","164","201507","11~20","2,600","1985","예미7길"
"강원도 정선군 신동읍 예미리","7**","단독","8m미만","48.88","223","201507","11~20","6,700","1980","예미5길"
"강원도 정선군 신동읍 예미리","3**","단독","8m미만","77.25","307","201505","11~20","7,000","1995","의림로"
"강원도 정선군 신동읍 예미리","1**","단독","12m미만","68.31","438","201508","1~10","5,000","1978","함백로"
"강원도 정선군 신동읍 예미리","7**","단독","8m미만","85.56","496","201511","11~20","12,700","2006","의림로"
"강원도 정선군 신동읍 예미리","3**","단독","8m미만","98.76","660","201512","1~10","7,600","2013","의림로"
"강원도 정선군 신동읍 운치리","9**","단독","8m미만","53.76","1048","201505","11~20","4,000","1980","운치길"
"강원도 정선군 신동읍 조동리","2**","단독","12m미만","54.4","96","201503","11~20","1,500","1984","함백로"
"강원도 정선군 신동읍 조동리","3**","단독","8m미만","74.7","102","201512","21~31","2,300","1983","조동2길"
"강원도 정선군 신동읍 조동리","2**","단독","8m미만","24.9","139","201510","1~10","1,700","1980","조동7길"
"강원도 정선군 신동읍 천포리","2**","단독","8m미만","68.4","114","201505","1~10","3,200","1993","의림로"
"강원도 정선군 여량면 고양리","1*","단독","8m미만","93.83","330","201511","11~20","7,000","1999","고창길"
"강원도 정선군 여량면 고양리","1**","단독","8m미만","95.82","495","201507","1~10","11,300","2014","고양로"
"강원도 정선군 여량면 구절리","2**","단독","12m미만","65.88","219","201501","1~10","5,000","1980","노추산로"
"강원도 정선군 여량면 구절리","2**","단독","8m미만","66.93","325","201506","11~20","5,000","1999","구절안길"
"강원도 정선군 여량면 구절리","2**","단독","8m미만","66.93","325","201508","11~20","5,300","1999","구절안길"
"강원도 정선군 여량면 구절리","2**","단독","8m미만","66.93","325","201503","21~31","5,500","1999","구절안길"
"강원도 정선군 여량면 남곡리","1**","단독","8m미만","73.84","312","201506","21~30","4,000","2013","상고사리길"
"강원도 정선군 여량면 봉정리","3**","단독","12m미만","68.28","370","201506","1~10","7,000","2012","봉정본동길"
"강원도 정선군 여량면 봉정리","6**","단독","8m미만","84","581","201508","1~10","5,300","2004","봉정안길"
"강원도 정선군 여량면 봉정리","3**","단독","-","80.94","660","201508","11~20","7,500","2005","봉정본동길"
"강원도 정선군 여량면 봉정리","2*","단독","12m미만","90.38","897","201505","11~20","7,500","1998","봉정로"
"강원도 정선군 여량면 봉정리","2**","단독","8m미만","94.95","2522","201512","21~31","10,000","2009","봉정안길"
"강원도 정선군 여량면 여량리","2**","단독","25m미만","70.56","265","201505","21~31","7,950","1994","서동로"
"강원도 정선군 여량면 여량리","2**","단독","25m미만","85.2","268","201505","21~31","8,040","1995","여량6길"
"강원도 정선군 여량면 여량리","6**","단독","8m미만","86.87","650","201504","1~10","12,750","1980","마산재길"
"강원도 정선군 여량면 유천리","7**","다가구","8m미만","79.3","660","201506","21~30","11,000","2013","null"
"강원도 정선군 여량면 유천리","3**","단독","8m미만","54.72","393","201502","1~10","2,500","1980","송천길"
"강원도 정선군 여량면 유천리","3**","단독","8m미만","54.72","393","201507","21~31","2,800","1980","송천길"
"강원도 정선군 여량면 유천리","4**","단독","8m미만","67.7","660","201502","21~28","6,300","2014","싸리골길"
"강원도 정선군 여량면 유천리","4**","단독","8m미만","67.7","660","201504","21~30","6,700","2014","싸리골길"
"강원도 정선군 임계면 가목리","6*","단독","8m미만","197.66","654","201503","1~10","14,500","2003","부수배리길"
"강원도 정선군 임계면 낙천리","1**","단독","12m미만","145.8","260","201506","1~10","2,100","1993","백두대간로"
"강원도 정선군 임계면 낙천리","5**","단독","8m미만","98.52","660","201512","21~31","12,900","2014","미락동안길"
"강원도 정선군 임계면 도전리","7**","단독","8m미만","90.81","600","201503","1~10","15,000","2003","눈꽃마을길"
"강원도 정선군 임계면 도전리","7**","단독","12m미만","87.09","656","201508","11~20","12,860","1908","눈꽃마을길"
