"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 인제군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 인제군 기린면 방동리","5**","단독","12m미만","72.03","297","201612","1~10","1,960","1960","조침령로"
"강원도 인제군 기린면 방동리","1**","단독","12m미만","93.21","500","201606","1~10","10,730","1992","방동약수로"
"강원도 인제군 기린면 방동리","1**","단독","8m미만","121.5","660","201609","1~10","16,141","2001","방태산길"
"강원도 인제군 기린면 방동리","1**","단독","8m미만","198","660","201607","1~10","10,177","2011","방태산길"
"강원도 인제군 기린면 방동리","2**","단독","8m미만","266.49","786","201606","11~20","30,202","2008","방태산길"
"강원도 인제군 기린면 북리","6**","다가구","12m미만","182.53","478.6","201605","1~10","50,000","2008","상하답로"
"강원도 인제군 기린면 북리","6**","다가구","12m미만","198.85","521.4","201604","21~30","26,200","2008","상하답로"
"강원도 인제군 기린면 북리","4**","단독","8m미만","39.36","469","201606","21~30","8,000","2004","상하답로"
"강원도 인제군 기린면 북리","4**","단독","8m미만","190.96","531","201607","21~31","45,000","1997","상하답로"
"강원도 인제군 기린면 북리","7**","단독","12m미만","77.76","660","201607","11~20","7,700","1992","내린천로"
"강원도 인제군 기린면 북리","4**","단독","8m미만","138.39","660","201604","21~30","46,300","2008","상하답로"
"강원도 인제군 기린면 북리","7**","단독","12m미만","307.5","661","201603","11~20","12,512","1988","내린천로"
"강원도 인제군 기린면 서리","8**","단독","8m미만","76","660","201611","11~20","3,000","1999","봉덕동길"
"강원도 인제군 기린면 진동리","5**","단독","8m미만","80.5","358.5","201601","21~31","2,100","2000","조침령로"
"강원도 인제군 기린면 진동리","2*","단독","8m미만","125.85","1080","201611","21~30","18,000","2005","조침령로"
"강원도 인제군 기린면 현리","7**","단독","8m미만","46.56","169","201605","11~20","7,300","2012","내린천로"
