"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 삼척시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 삼척시 근덕면 용화리","1**","다가구","8m미만","227.4","474","201505","11~20","22,000","2012","용화안길"
"강원도 삼척시 근덕면 용화리","1**","단독","8m미만","88.58","122","201511","1~10","2,400","1925","용화안길"
"강원도 삼척시 근덕면 용화리","1**","단독","8m미만","225.06","454","201509","21~30","48,188","2012","용화안길"
"강원도 삼척시 근덕면 장호리","2**","다가구","8m미만","266.36","399","201505","11~20","45,000","2013","장호1길"
"강원도 삼척시 근덕면 장호리","6*","단독","12m미만","56.7","155","201507","11~20","3,500","1935","장호항길"
"강원도 삼척시 근덕면 장호리","1**","단독","8m미만","67.65","525","201508","1~10","12,310","1979","장호안2길"
"강원도 삼척시 근덕면 장호리","2**","단독","8m미만","70.56","645","201505","1~10","19,000","1978","장호길"
"강원도 삼척시 근덕면 하맹방리","8**","다가구","8m미만","259.52","1169","201501","1~10","32,720","2012","초당길"
"강원도 삼척시 근덕면 하맹방리","8**","다가구","8m미만","288.45","2788","201501","1~10","41,500","2007","초당길"
"강원도 삼척시 근덕면 하맹방리","2**","단독","8m미만","94.99","372","201505","21~31","7,944","1934","하맹방길"
"강원도 삼척시 근덕면 하맹방리","3**","단독","8m미만","96.39","641","201506","1~10","18,000","2000","삼척로"
"강원도 삼척시 근산동","1**","단독","8m미만","70.2","570","201511","1~10","4,000","1999","근산길"
"강원도 삼척시 남양동","1**","다가구","8m미만","210.76","236","201508","11~20","19,800","2001","남산길"
