"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 횡성군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 횡성군 갑천면 구방리","1**","단독","8m미만","99.38","484","201608","11~20","12,000","2009","태기로구방8길"
"강원도 횡성군 갑천면 구방리","7**","단독","-","71.75","570","201612","21~31","10,500","2016","태기로구방6길"
"강원도 횡성군 갑천면 구방리","3**","단독","8m미만","99.6","689","201604","11~20","14,920","2013","태기로구방6길"
"강원도 횡성군 갑천면 구방리","3**","단독","8m미만","98","758","201603","21~31","18,900","2012","태기로구방6길"
"강원도 횡성군 갑천면 대관대리","7*","단독","8m미만","59.75","388","201608","1~10","12,700","2012","섬강로"
"강원도 횡성군 갑천면 대관대리","3**","단독","8m미만","98.54","424","201606","11~20","15,000","2007","외갑천로126번길"
"강원도 횡성군 갑천면 대관대리","3**","단독","12m미만","268.3","482","201605","21~31","18,770","1994","외갑천로"
"강원도 횡성군 갑천면 매일리","2*","단독","8m미만","72.14","428","201607","21~31","13,500","2016","갑천로"
"강원도 횡성군 갑천면 매일리","2*","단독","-","72.14","480","201611","11~20","12,520","2016","갑천로"
"강원도 횡성군 갑천면 매일리","1*","단독","8m미만","99.72","598","201609","1~10","13,700","2010","갑천로"
"강원도 횡성군 갑천면 병지방리","4*","단독","8m미만","70.83","330","201611","21~30","8,700","2013","어답산로"
"강원도 횡성군 갑천면 병지방리","8*","단독","8m미만","76.95","660","201609","21~30","13,000","2016","병지방동길"
"강원도 횡성군 갑천면 병지방리","9*","단독","8m미만","97.73","677","201607","21~31","16,900","2014","병지방동길"
"강원도 횡성군 갑천면 삼거리","1**","단독","8m미만","91.92","515","201608","21~31","21,480","2013","외갑천로479번길"
"강원도 횡성군 갑천면 상대리","2**","단독","8m미만","56.79","304","201603","11~20","11,450","2010","갑천로760번길"
"강원도 횡성군 갑천면 상대리","3**","단독","8m미만","106.2","431","201610","1~10","6,560","2003","갑천로"
"강원도 횡성군 갑천면 상대리","2**","단독","8m미만","73.35","523","201610","11~20","7,000","2013","갑천로760번길"
"강원도 횡성군 갑천면 상대리","3*","단독","8m미만","76.96","640","201605","21~31","11,500","2007","갑천로1029번길"
"강원도 횡성군 갑천면 상대리","9*","단독","-","105.73","720","201609","21~30","21,000","1980","null"
"강원도 횡성군 갑천면 상대리","9*","단독","-","97.27","750","201605","1~10","18,954","2016","갑천로"
"강원도 횡성군 갑천면 상대리","9*","단독","-","97.23","783","201611","1~10","21,000","2016","null"
"강원도 횡성군 갑천면 상대리","9*","단독","-","97.27","799","201604","1~10","21,000","2016","갑천로"
"강원도 횡성군 갑천면 상대리","9*","단독","12m미만","97.23","802","201611","21~30","20,000","2016","갑천로"
"강원도 횡성군 갑천면 상대리","9*","단독","-","105.73","919","201611","21~30","23,000","2016","null"
"강원도 횡성군 갑천면 상대리","9*","단독","-","110.9","983","201610","21~31","22,200","2016","null"
"강원도 횡성군 갑천면 율동리","1**","단독","8m미만","41.25","330","201606","21~30","9,000","2013","율동로"
"강원도 횡성군 갑천면 율동리","2*","단독","8m미만","84.2","392","201602","21~29","8,000","1961","청정로율동1길"
"강원도 횡성군 갑천면 율동리","3**","단독","8m미만","55.07","533","201603","11~20","6,475","2015","외갑천로"
"강원도 횡성군 갑천면 율동리","2**","단독","8m미만","94.5","660","201605","21~31","17,000","2015","율동로"
"강원도 횡성군 갑천면 전촌리","*","단독","12m미만","39","317","201601","11~20","4,000","2007","어답산로"
"강원도 횡성군 갑천면 전촌리","2**","단독","8m미만","124.86","705","201602","21~29","14,174","2012","외갑천로"
"강원도 횡성군 갑천면 전촌리","3**","단독","8m미만","205.38","998","201610","21~31","33,580","2004","외갑천로341번길"
"강원도 횡성군 갑천면 추동리","1**","단독","12m미만","184","656","201610","1~10","19,500","1992","외갑천로"
"강원도 횡성군 갑천면 포동리","2**","단독","12m미만","99.03","472","201606","21~30","7,000","2014","정포로"
