"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20150101 ~ 20151231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 영월군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 영월군 김삿갓면 내리","4**","다가구","8m미만","479.61","677","201503","21~31","69,624","2013","내리계곡로"
"강원도 영월군 김삿갓면 대야리","2**","단독","8m미만","79.13","535","201510","11~20","6,300","2009","null"
"강원도 영월군 김삿갓면 예밀리","7**","단독","8m미만","70.63","502","201509","11~20","4,000","1995","포도마을길"
"강원도 영월군 김삿갓면 예밀리","4**","단독","8m미만","25.7","660","201507","1~10","4,000","2007","예밀촌길"
"강원도 영월군 김삿갓면 옥동리","6**","다가구","8m미만","138.31","761","201506","21~30","6,500","2008","버드나무길"
"강원도 영월군 김삿갓면 와석리","7**","다가구","8m미만","106.26","259","201510","21~31","8,600","2015","김삿갓로"
"강원도 영월군 김삿갓면 와석리","7**","단독","8m미만","58.83","334","201503","11~20","7,000","2012","김삿갓로"
"강원도 영월군 김삿갓면 와석리","2**","단독","8m미만","181.26","545","201507","1~10","24,000","2007","미사리길"
"강원도 영월군 김삿갓면 와석리","7**","단독","8m미만","92.91","1000","201505","21~31","15,000","2013","김삿갓로"
"강원도 영월군 김삿갓면 외룡리","2**","단독","8m미만","86.22","581","201510","11~20","4,800","2013","영월동로"
"강원도 영월군 김삿갓면 외룡리","4**","단독","8m미만","77.22","614","201505","21~31","6,875","2014","음지마을길"
"강원도 영월군 김삿갓면 외룡리","7**","단독","8m미만","67.33","626","201512","11~20","6,000","2009","직실길"
"강원도 영월군 김삿갓면 진별리","2**","단독","8m미만","79.29","496","201510","11~20","7,000","null","베리골길"
"강원도 영월군 김삿갓면 진별리","6**","단독","8m미만","61.21","727","201512","1~10","6,000","1978","영월동로"
"강원도 영월군 김삿갓면 진별리","6**","단독","8m미만","51.76","896","201511","21~30","9,500","1978","영월동로"
"강원도 영월군 남면 광천리","4**","단독","12m미만","85.24","660","201510","21~31","11,000","2013","광천길"
"강원도 영월군 남면 북쌍리","3**","다가구","8m미만","163.8","980","201501","11~20","10,000","2010","갈골길"
"강원도 영월군 남면 북쌍리","2**","단독","8m미만","63.45","175","201512","1~10","6,000","1986","서강로"
"강원도 영월군 남면 연당리","8**","단독","12m미만","58.52","155","201504","21~30","3,100","1950","연당로"
"강원도 영월군 남면 연당리","9**","단독","8m미만","75.32","208","201506","11~20","7,000","1972","송정길"
"강원도 영월군 남면 연당리","7**","단독","8m미만","105.36","331","201504","11~20","11,500","2005","연당조전로"
"강원도 영월군 남면 연당리","9**","단독","8m미만","56.66","337","201508","21~31","8,800","2011","송정길"
"강원도 영월군 남면 창원리","2**","단독","-","89.96","350","201503","1~10","9,500","1998","별방창원로"
"강원도 영월군 남면 창원리","9**","단독","8m미만","63.45","456","201503","21~31","8,400","1986","담터길"
"강원도 영월군 남면 창원리","5**","단독","12m미만","82.68","681","201508","11~20","10,023","1994","별방창원로"
"강원도 영월군 남면 토교리","7**","단독","8m미만","91.18","482","201502","21~28","10,000","2009","덕골길"
"강원도 영월군 무릉도원면 두산리","8**","다가구","8m미만","161.76","864","201512","21~31","18,000","2013","두산길"
"강원도 영월군 무릉도원면 두산리","4**","단독","8m미만","75.58","461","201508","21~31","14,400","2007","두산길"
"강원도 영월군 무릉도원면 두산리","1***","단독","8m미만","67.1","660","201510","1~10","15,000","2009","두산길"
"강원도 영월군 무릉도원면 두산리","5**","단독","8m미만","149","660","201502","1~10","24,000","2008","배향길"
"강원도 영월군 무릉도원면 두산리","9**","단독","8m미만","79.38","713","201508","11~20","18,000","1996","청옥계곡길"
"강원도 영월군 무릉도원면 두산리","2**","단독","8m미만","107.64","1062","201509","11~20","19,250","2013","두산길"
"강원도 영월군 무릉도원면 두산리","4**","단독","8m미만","95.15","2112","201508","11~20","37,000","2007","배향길"
"강원도 영월군 무릉도원면 무릉리","7*","단독","8m미만","54","296","201508","21~31","2,700","1998","아래골길"
"강원도 영월군 무릉도원면 무릉리","3**","단독","8m미만","99.91","560","201505","1~10","16,500","2005","명마동길"
"강원도 영월군 무릉도원면 법흥리","2*","단독","8m미만","99.2","335","201504","21~30","22,000","1994","null"
"강원도 영월군 무릉도원면 법흥리","1**","단독","8m미만","164.05","582","201502","11~20","12,000","2006","백년계곡길"
"강원도 영월군 무릉도원면 법흥리","1**","단독","8m미만","135.46","1045.6","201510","11~20","19,750","null","백년계곡길"
"강원도 영월군 무릉도원면 운학리","6**","다가구","8m미만","132.17","746","201509","11~20","9,300","2005","고일길"
"강원도 영월군 무릉도원면 운학리","1***","단독","8m미만","76.29","406","201507","21~31","11,800","2001","운학큰골길"
"강원도 영월군 무릉도원면 운학리","1***","단독","8m미만","149.71","515","201509","1~10","20,000","2003","도원운학로"
"강원도 영월군 무릉도원면 운학리","7**","단독","8m미만","97.75","564","201502","21~28","10,500","1998","도원운학로"
"강원도 영월군 무릉도원면 운학리","2**","단독","-","91.08","585","201509","11~20","14,520","2015","양지마을길"
"강원도 영월군 무릉도원면 운학리","1***","단독","12m미만","56.4","860","201502","21~28","9,500","2009","도원운학로"
"강원도 영월군 무릉도원면 운학리","1***","단독","8m미만","43.35","1119","201506","11~20","12,870","2011","도안지길"
