"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 정선군"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명"
"강원도 정선군 신동읍 조동리","1**","단독","8m미만","49.58","491","201610","21~31","3,800","1980","null"
"강원도 정선군 신동읍 천포리","6*","단독","8m미만","94.8","660","201609","11~20","12,200","1999","천포안길"
"강원도 정선군 여량면 고양리","4**","단독","8m미만","87.94","660","201606","11~20","14,500","2011","효행길"
"강원도 정선군 여량면 고양리","3**","단독","8m미만","220.66","660","201601","1~10","9,700","2010","고양로"
"강원도 정선군 여량면 고양리","5*","단독","8m미만","75","860","201601","11~20","12,200","2015","고창길"
"강원도 정선군 여량면 여량리","1**","단독","12m미만","293.34","135","201610","11~20","14,000","1996","여량3길"
"강원도 정선군 여량면 여량리","1**","단독","12m미만","75.67","173","201612","21~31","5,000","1996","여량3길"
"강원도 정선군 여량면 여량리","1**","단독","12m미만","99","252","201607","1~10","6,000","1991","봉정로"
"강원도 정선군 여량면 여량리","2**","단독","8m미만","41.6","321","201602","11~20","4,800","1980","여량3길"
"강원도 정선군 여량면 여량리","9*","단독","8m미만","89.88","355.8","201608","1~10","8,200","1980","서동로"
"강원도 정선군 여량면 여량리","4**","단독","8m미만","72.52","551","201602","1~10","6,000","2012","고양로"
"강원도 정선군 여량면 유천리","3**","단독","8m미만","43.5","327","201608","11~20","1,000","1980","null"
"강원도 정선군 여량면 유천리","3**","단독","8m미만","54.72","393","201607","1~10","3,200","1980","송천길"
"강원도 정선군 임계면 가목리","1**","단독","12m미만","29.25","496","201601","11~20","1,984","1980","null"
"강원도 정선군 임계면 가목리","1**","단독","8m미만","89.25","559","201607","11~20","4,000","1997","마상길"
