TIME,USDKRW,KRWEUR,EURCNY,KRWJPY,KRWCNY,EURKRW,GBPEUR,JPYKRW,GBPUSD
2018-10-25 15:17:46,0.098275,0.0007688,7.9242,0.006092,0.006092,1298.6,1.1305,10.145,1.2908889
2018-10-25 15:17:34,0.098275,0.0007688,7.9242,0.006092,0.006092,1298.6,1.1305,10.145,1.2908889
2018-10-25 15:17:17,0.098275,0.0007688,7.9242,0.006092,0.006092,1298.6,1.1302,10.145,1.2908889
2018-10-25 15:17:03,0.098275,0.0007688,7.9242,0.006092,0.006092,1298.6,1.1302,10.145,1.2908889
2018-10-25 15:16:49,0.098275,0.0007688,7.9244,0.006092,0.006092,1298.6,1.1302,10.145,1.2908889
2018-10-25 15:16:32,0.098275,0.0007688,7.9244,0.006092,0.006092,1298.6,1.1306,10.145,1.2908889
2018-10-25 15:16:17,0.098275,0.0007688,7.9244,0.006092,0.006092,1298.6,1.1302,10.145,1.2908889
2018-10-25 15:16:05,0.098275,0.0007688,7.9244,0.006092,0.006092,1298.6,1.1308,10.145,1.2908223
2018-10-25 15:15:46,0.098275,0.0007688,7.9244,0.006092,0.006092,1298.6,1.1307,10.145,1.2908223
2018-10-25 15:15:31,0.098275,0.0007688,7.9251,0.006092,0.006092,1298.6,1.1307,10.145,1.2908223
2018-10-25 15:15:20,0.098275,0.0007688,7.9251,0.006092,0.006092,1298.6,1.1307,10.145,1.2908223
2018-10-25 15:15:01,0.098293,0.0007689,7.9251,0.006093,0.006093,1298.4,1.1305,10.144,1.2908223
2018-10-25 15:14:53,0.098293,0.0007689,7.9251,0.006093,0.006093,1298.4,1.1305,10.144,1.2908223
2018-10-25 15:14:32,0.098293,0.0007689,7.9251,0.006093,0.006093,1298.4,1.1306,10.144,1.2908223
2018-10-25 15:14:17,0.098293,0.0007689,7.9251,0.006093,0.006093,1298.4,1.1306,10.144,1.2908223
2018-10-25 15:14:01,0.098293,0.0007689,7.924,0.006093,0.006093,1298.4,1.1304,10.144,1.2903892
2018-10-25 15:13:46,0.098293,0.0007689,7.924,0.006093,0.006093,1298.4,1.1304,10.144,1.2903892
2018-10-25 15:13:31,0.098293,0.0007689,7.924,0.006093,0.006093,1298.4,1.1304,10.144,1.2903892
2018-10-25 15:13:17,0.098293,0.0007689,7.924,0.006093,0.006093,1298.4,1.1304,10.144,1.2903892
2018-10-25 15:13:02,0.098293,0.0007689,7.924,0.006093,0.006093,1298.4,1.1304,10.144,1.2903892
2018-10-25 15:12:47,0.098293,0.0007689,7.924,0.006093,0.006093,1298.4,1.1304,10.144,1.2903892
2018-10-25 15:12:31,0.098273,0.0007691,7.9236,0.006093,0.006093,1298.4,1.1303,10.144,1.2904725
2018-10-25 15:12:18,0.098273,0.0007691,7.9236,0.006092,0.006092,1298.4,1.1303,10.144,1.2904725
2018-10-25 15:12:02,0.098273,0.0007691,7.9236,0.006092,0.006092,1298.4,1.1303,10.144,1.2904725
2018-10-25 15:11:46,0.098273,0.0007691,7.9236,0.006092,0.006092,1298.4,1.1303,10.144,1.2904725
2018-10-25 15:11:31,0.098273,0.0007691,7.9236,0.006092,0.006092,1298.4,1.1303,10.144,1.2904725
2018-10-25 15:11:18,0.098273,0.0007691,7.9236,0.006092,0.006092,1298.4,1.1303,10.144,1.2904725
2018-10-25 15:11:07,0.098273,0.0007691,7.9235,0.006092,0.006092,1298.4,1.1303,10.144,1.2898899
2018-10-25 15:10:48,0.098273,0.0007691,7.9235,0.006092,0.006092,1298.4,1.1303,10.144,1.2898899
2018-10-25 15:10:33,0.098273,0.0007691,7.9235,0.006092,0.006092,1298.4,1.1303,10.144,1.2898899
2018-10-25 15:10:18,0.098273,0.0007691,7.9235,0.006092,0.006092,1298.4,1.1301,10.144,1.2898899
2018-10-25 15:10:03,0.098273,0.0007691,7.9235,0.006092,0.006092,1298.2,1.1301,10.146,1.2898899
2018-10-25 15:09:47,0.098273,0.0007691,7.9235,0.006092,0.006092,1298.2,1.1301,10.146,1.2898899
2018-10-25 15:09:33,0.098273,0.0007691,7.9231,0.006092,0.006092,1298.2,1.1301,10.146,1.2898899
2018-10-25 15:09:18,0.098273,0.0007691,7.9231,0.006092,0.006092,1298.2,1.1296,10.146,1.2898899
2018-10-25 15:09:02,0.098273,0.0007691,7.9231,0.006092,0.006092,1298.2,1.1296,10.146,1.2894242
2018-10-25 15:08:47,0.098273,0.0007691,7.9231,0.006092,0.006092,1298.2,1.1296,10.146,1.2894242
2018-10-25 15:08:31,0.098273,0.0007691,7.9231,0.006092,0.006092,1298.2,1.1296,10.146,1.2894242
2018-10-25 15:08:20,0.098273,0.0007691,7.9231,0.006092,0.006092,1298.2,1.1296,10.146,1.2894242
