"경찰서별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"경찰서별",합계,합계,강력범,강력범,절도범,절도범,폭력범,폭력범,지능범,지능범,풍속범,풍속범,기타형사범,기타형사범,특별법범,특별법범
"경찰서별",발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"합계",56928,46673,694,657,5965,3740,9830,8670,7921,6360,259,237,3072,2826,29187,24183
"강원청",0,478,0,69,0,0,0,17,0,109,0,7,0,6,0,270
"춘천경찰서",10603,8162,115,96,1131,640,1631,1421,1214,906,31,22,530,452,5951,4625
"원주경찰서",14088,11076,154,137,1779,918,2481,2113,1812,1348,53,47,633,592,7176,5921
"강릉경찰서",7634,6060,108,82,829,443,1624,1365,1075,915,22,19,500,467,3476,2769
"동해경찰서",3632,3060,43,44,290,200,752,689,434,371,13,12,178,178,1922,1566
"태백경찰서",1484,1310,16,13,131,87,306,294,230,204,4,2,82,81,715,629
"속초경찰서",4843,3928,43,38,439,282,916,791,738,621,26,25,265,245,2416,1926
"삼척경찰서",2587,2179,32,24,196,127,529,496,348,287,11,11,142,139,1329,1095
"홍천경찰서",2395,2176,50,44,188,262,335,336,319,254,13,12,146,130,1344,1138
"횡성경찰서",1368,1059,22,19,155,102,173,152,165,109,11,10,83,80,759,587
"영월경찰서",1038,896,15,9,88,44,161,139,152,134,7,7,83,71,532,492
"평창경찰서",1400,1237,19,19,147,199,182,163,288,188,11,11,80,74,673,583
"정선경찰서",1675,1509,19,21,230,197,181,168,370,327,12,10,107,93,756,693
"철원경찰서",1125,948,19,15,96,47,134,130,250,175,12,12,56,54,558,515
"화천경찰서",443,410,8,7,46,30,63,69,85,75,4,4,28,28,209,197
"양구경찰서",559,469,14,9,63,43,69,63,101,87,6,6,32,28,274,233
"인제경찰서",916,771,9,6,75,47,130,119,189,139,12,10,65,56,436,394
"고성경찰서",1138,945,8,5,82,72,163,145,151,111,11,10,62,52,661,550
