시도명,시군구명,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
강원도,고성군,B000005223,동광초등학교,초등학교,1944-08-05,공립,본교,운영,강원도 고성군 토성면 교암리  86,강원도 고성군 토성면 교암1길  15,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.2884734,128.5440365,2017-09-05
강원도,고성군,B000005224,아야진초등학교,초등학교,1960-04-06,공립,본교,운영,강원도 고성군 토성면 아야진리  200,강원도 고성군 토성면 아야진길  15,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.2733326,128.5496351,2017-09-05
강원도,고성군,B000005225,천진초등학교,초등학교,1925-03-02,공립,본교,운영,강원도 고성군 토성면 천진리  181,강원도 고성군 토성면 천진1길  14,7800000,강원도교육청,7971000,강원도고성교육지원청,2013-11-29,,38.2573011,128.5574096,2017-09-05
강원도,홍천군,B000005032,오안초등학교,초등학교,1944-04-01,공립,본교,운영,강원도 홍천군 홍천읍 하오안리 597,강원도 홍천군 홍천읍 오안로 12,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2017-07-04,37.6610982,127.8312174,2017-09-05
강원도,홍천군,B000005033,홍천초등학교,초등학교,1908-10-05,공립,본교,운영,강원도 홍천군 홍천읍 희망리 313,강원도 홍천군 홍천읍 희망로4길 12,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2016-07-19,37.6926634,127.8842897,2017-09-05
강원도,홍천군,B000005034,남산초등학교,초등학교,1971-09-18,공립,본교,운영,강원도 홍천군 홍천읍 연봉리 159,강원도 홍천군 홍천읍 연봉로 17-7,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,2017-05-29,37.6831102,127.8781073,2017-09-05
강원도,홍천군,B000005036,구송초등학교,초등학교,1947-03-20,공립,본교,운영,강원도 홍천군 화촌면 송정리  63-1,강원도 홍천군 화촌면 홍천로  1105,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.7384600,127.9389241,2017-09-05
강원도,홍천군,B000005037,삼포초등학교,초등학교,1955-03-05,공립,본교,운영,강원도 홍천군 화촌면 내삼포리  59-2,강원도 홍천군 화촌면 구룡령로  339,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.7561316,127.9756947,2017-09-05
강원도,홍천군,B000005038,화촌초등학교,초등학교,1925-07-01,공립,본교,운영,강원도 홍천군 화촌면 성산리  367-1,강원도 홍천군 화촌면 성산로147번길  8,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.7722682,127.9669297,2017-09-05
강원도,홍천군,B000005039,두촌초등학교,초등학교,1922-10-30,공립,본교,운영,강원도 홍천군 두촌면 자은리  915,강원도 홍천군 두촌면 자은로  329,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.8680608,128.0172503,2017-09-05
강원도,홍천군,B000005041,서석초등학교,초등학교,1926-12-10,공립,본교,운영,강원도 홍천군 서석면 풍암리  194,강원도 홍천군 서석면 풍암길  58,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.7121795,128.1881521,2017-09-05
강원도,홍천군,B000005042,내촌초등학교,초등학교,1930-04-01,공립,본교,운영,강원도 홍천군 내촌면 도관리  443-1,강원도 홍천군 내촌면 내촌길  21,7800000,강원도교육청,7881000,강원도홍천교육지원청,2013-11-29,,37.8158148,128.0855425,2017-09-05
